GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086007809,12,86,7809,"Census Tract 78.09, Miami-Dade County, Florida",,4280,1296,474,30.28,11.07,2177,527,50.86,12.31,807,450,18.86,10.51
1400000US12086007901,12,86,7901,"Census Tract 79.01, Miami-Dade County, Florida",,3676,1298,462,35.31,12.57,1486,501,40.42,13.63,892,439,24.27,11.94
1400000US12086007902,12,86,7902,"Census Tract 79.02, Miami-Dade County, Florida",,3471,1645,436,47.39,12.56,1291,464,37.19,13.37,535,384,15.41,11.06
1400000US12086008000,12,86,8000,"Census Tract 80, Miami-Dade County, Florida",,5241,1925,639,36.73,12.19,2269,680,43.29,12.97,1047,560,19.98,10.68
1400000US12086008101,12,86,8101,"Census Tract 81.01, Miami-Dade County, Florida",,3743,1583,419,42.29,11.19,1817,431,48.54,11.51,343,332,9.16,8.87
1400000US12086008102,12,86,8102,"Census Tract 81.02, Miami-Dade County, Florida",,4757,2284,519,48.01,10.91,1867,536,39.25,11.27,606,414,12.74,8.7
1400000US12086008202,12,86,8202,"Census Tract 82.02, Miami-Dade County, Florida",,4282,1560,542,36.43,12.66,1849,580,43.18,13.55,873,483,20.39,11.28
1400000US12086008205,12,86,8205,"Census Tract 82.05, Miami-Dade County, Florida",,3973,1626,456,40.93,11.48,1801,476,45.33,11.98,546,376,13.74,9.46
1400000US12086008206,12,86,8206,"Census Tract 82.06, Miami-Dade County, Florida",,4182,1313,481,31.4,11.5,1966,510,47.01,12.2,903,419,21.59,10.02
1400000US12086008207,12,86,8207,"Census Tract 82.07, Miami-Dade County, Florida",,4118,1996,480,48.47,11.66,1618,494,39.29,12,504,381,12.24,9.25
1400000US12086008208,12,86,8208,"Census Tract 82.08, Miami-Dade County, Florida",,4885,1843,554,37.73,11.34,1840,605,37.67,12.38,1202,527,24.61,10.79
